subjCode,reptile_cat,dessert_cat,appliance_cat,furniture_cat,
A2C84POENS2UNY,lizard,cone,microwave,table,
AKVDK30EEV08C,unkown,cake_slice,fridge,chair,
AKV1P0K20UNF0,lizard,bowl,microwave,couch,
A1XVEKS9O73ERE,unkown,pie,oven,chair,
ARHBT4K14I7U,snake,cookie,unknown,chair,
A1FYFBIFYWTMJS,snake,cupcake,blender,table,
A2X7705RU1QQYB,snake,cake,blender,armchair,
A35P8YSNTQ7OTP,snake,cookie,unknown,chair,
A1L2N1X8U8Z3W7,unkown,cake,oven,chair,
A1ROEDVMTO9Y3X,snake,cake,fridge,table,
A38DHLB88V8DL8,snake,cake,fridge,chair,
A270HX8LH9LJ8W,snake,cake_slice,toaster,chair,
A2BRZKFG6WAVER,turtle,cone,microwave,armchair,
A2G7DTL156PTKA,snake,cake_slice,fridge,table,
A3SH7B3UK915FC,lizard,cake_slice,whisk,armchair,
A1AZTE5W2MF1TU,snake,cone,toaster,lamp,
A1DS5O8MSI3ZH0,crocodile,bowl,fridge,table,
A1UNBT94I82S8V,lizard,cookie,microwave,couch,
AS4E902OXUO5Z,turtle,cupcake,fridge,chair,
A3MCGKRH5KEZR8,lizard,pie,oven,chair,
18612,lizard,icecream,fridge,chair,
AOWY4TEB0UCMX,snake,bowl,kettle,desk,
A1967FI5GJEZN8,frog,cake_slice,toaster,chair,
ACAJFF4MF5S5X,crocodile,cake_slice,fridge,chair,
A3BFMY5OX2WMUW,lizard,cake,oven,chair,!
AT4QUBMY4BXN7,crocodile,cake,microwave,table,
63121,crocodile,cake,multi,couch,
AMYHVU1VHLS7B,unkown,cone,spoon,unknown,
A2FXD55FJV1RSV,lizard,icecream,oven,couch,
A8XGLC20WBV8B,lizard,unkown,fridge,unknown,
A3NGTGQGRTG4OO,unkown,cake,fridge,couch,
63013,lizard,cake,microwave,table,
63064,lizard,cone,blender,chair,
A1H0PW1XZMA42P,lizard,pie,toaster,chair,
AD21ES5UMD77U,frog,cone,fridge,chair,
63103,snake,cone,spoon,bed,
A3KK1BNF5H0N1Z,unkown,pie,unknown,couch,
AQ8PG3HTV72YT,snake,unkown,kettle,table,
63100,turtle,cupcake,oven,chair,
63039,lizard,cake,fridge,chair,
A245CIYS63PTF2,unkown,cupcake,spoon,unknown,
A2OVX9UW5WANQE,snake,cone,toaster,chair,
A2MDVIWMWCPOSO,lizard,unkown,fridge,chair,
A347DBK4ESYG39,snake,cookie,spoon,couch,
ANNVWKERLZG9A,lizard,cake,oven,couch,
63035,lizard,icecream,microwave,couch,
62975,lizard,doughnut,fridge,couch,
ALAEBEEHK525U,lizard,cake,microwave,chair,
62997,snake,cake,oven,chair,
AT3C00TKZK13L,lizard,pie,oven,table,
A1OZN075MPLC9V,snake,bowl,microwave,chair,
A1PR74OHURJNTO,unkown,cone,oven,chair,
A2PBRGT71DUYOY,unkown,cupcake,fridge,table,
A25PFSORDO3SWQ,lizard,cake,fridge,chair,
A28VE2YSRYE3B8,lizard,bowl,toaster,chair,
A2XQ3P6M9NZNYB,snake,cone,blender,couch,
A1QX1RYLCFXZJ9,lizard,cone,oven,chair,
A2A76DZHF7N9AB,snake,cake,fridge,bed,
APUJ5CWJYKGD7,unkown,cake,fridge,chair,
A2FVI9R2TRXCUH,snake,cookie,unknown,unknown,
63101,lizard,cake,oven,couch,
A37P8UZ3SAKM7A,lizard,bowl,toaster,chair,
63016,turtle,bowl,microwave,armchair,
A2UMVPFBDCK5GK,lizard,doughnut,beater,chair,
A28W67ZXNQ3K19,crocodile,cone,oven,chair,
63074,lizard,icecream,sink,chair,
A198MSVO1VTAT5,lizard,unkown,fridge,armchair,
A2ETXCA9X5P484,snake,icecream,unknown,chair,
A2EI9E6EBZEZO1,turtle,cone,toaster,table,
A3G9BVVZ14580D,snake,icecream,fridge,armchair,
63083,lizard,cone,unknown,chair,
A2GO2OXS4VM1PR,lizard,pie,microwave,chair,
A24T9XN1KYZSCY,snake,unkown,unknown,table,
A12MV66U9VGLQ1,snake,icecream,kettle,armchair,
63096,snake,cone,fridge,table,
A3JW215NW77ZTU,snake,unkown,mug,chair,
63057,snake,pie,fork,unknown,
A1DSBBRZR3LWXP,snake,cone,fridge,table,
A1GJUZLR45D5MP,lizard,cake,spoon,chair,
ATP43ZVI1RP0C,snake,cake,spatula,chair,
A3PM52Y3NBMHCD,snake,cake,oven,chair,
AK4KI832ZS8MW,snake,unkown,mug,chair,
A2VKWFC65HPX8I,snake,cake,fork,chair,
ASVRLMDNQBUD9,crocodile,cone,microwave,chair,
62998,snake,cake,toaster,chair,
A1UU6W7EDFNGSD,lizard,cone,microwave,chair,
A1YL6RUUTJ2U3Z,unkown,unkown,knife,table,
A1L3937MY09J3I,lizard,cake,microwave,couch,
63058,lizard,icecream,blender,couch,
AWNQ9E62XRB0O,lizard,cake,beater,table,
A2ATXOR5WL2S0Q,lizard,unkown,unknown,chair,
A3EXRTTCEH6VAU,snake,cake,spatula,chair,
A1LCK6QNWR53QI,unkown,cone,sieve,table,
63099,snake,cone,microwave,chair,
AA3TKAZ7USBO2,snake,multi,oven,chair,
AJZC3FBSU0GE6,turtle,cake,toaster,couch,
A134S0D2DGBLZM,snake,cookie,mug,table,
A1IEAOCJNSPVRX,crocodile,icecream,fridge,couch,
AG9LWKO86TNHG,snake,unkown,fridge,chair,
A28SVE690PQ5P7,snake,icecream,sink,chair,
62978,lizard,cake,fridge,couch,
A10IZOZGBH42K,unkown,pie,toaster,chair,
A1ZB2NY0F9QNP0,snake,cake,fridge,armchair,
A3UN1F1EOHKKE6,lizard,cake,fridge,couch,
A1C7UV2UT2S9T7,snake,cake,beater,chair,
A1SNC8UL8YFRH5,snake,pie,toaster,chair,
A16HSMUJ7C7QA7,lizard,cone,toaster,table,
A2OYD076D953N1,unkown,unkown,multi,chair,
A161AJDHLJVCLZ,lizard,cake,microwave,chair,
A3PKTPXXORWR97,snake,cake,fridge,chair,
A2R89RXGEVG05I,snake,doughnut,fridge,chair,
A2YTGHCG4PJKYW,snake,unkown,fridge,table,
63065,turtle,unkown,fridge,couch,
AKNLD4GWEGW4U,unkown,cone,unknown,chair,
APEHS2JTA3FZJ,snake,pie,fridge,armchair,
A29O3X7F446T1P,lizard,cookie,mug,table,
A35VQH6X5A6SIG,lizard,unkown,fridge,table,
ADWPGLPZY9W2D,lizard,cake,pan,chair,
63033,lizard,cake,fridge,table,
63055,snake,cake,fridge,couch,
A1HNR6OIRFCEHS,crocodile,unkown,kettle,couch,
A1EAR8424WFLGO,snake,bowl,multi,chair,
A15ZLQU8M9MMXS,multi,multi,multi,multi,
ASW9MABLSXSPK,snake,bowl,oven,chair,
A1IMO5XR05U7S5,snake,cone,fridge,bed,
A3JZLYQ606HJJR,snake,unkown,kettle,table,
A2XW91EHCZ3T3V,snake,pie,multi,bed,
A2GKX7OV3D8A3T,lizard,icecream,oven,chair,
A3CF8ULBSE8MTL,crocodile,cone,microwave,chair,
A3FTGEWH6KPMX,snake,cupcake,toaster,armchair,
A10048W1LKR40,snake,cupcake,knife,table,
A2539PUSDD137T,snake,bowl,coffee,armchair,
63008,lizard,cake,microwave,armchair,
63026,crocodile,bowl,blender,chair,
A17U82YPDOT3CW,lizard,unkown,oven,bed,
A2GMDKTOE1766G,snake,unkown,unknown,chair,
A3ICFFGBUY4WP9,lizard,unkown,microwave,chair,
AACAZJ002WUOU,lizard,icecream,blender,table,
AUN4BGGKSK045,unkown,unkown,mug,table,
A1T8LV8EOI43UN,unkown,unkown,spoon,chair,
A2UUKFTD0VUX2S,snake,cupcake,mug,table,
63044,snake,cupcake,toaster,couch,
A1SYEV7KNG8VK6,turtle,cake,microwave,chair,
A2UTDZAZV1DF0N,unkown,cake,unknown,chair,
AK3H5QRAROFGP,crocodile,cone,fridge,unknown,
A2XMFTY9WB05U6,crocodile,bowl,coffee,couch,
A1JJYY622DGE5L,snake,pie,fridge,couch,
ACZXP89TIXCUA,lizard,bowl,beater,chair,
AVK1TZJ6OT9HY,unkown,doughnut,unknown,unknown,
ALAAM55N3CLPM,snake,cake,blender,chair,
AD1PP40BCLSD2,lizard,cake,fridge,table,
A2390O5HIZMMZS,multi,unkown,multi,chair,
A1DX0Z20W07YOR,snake,cone,spatula,chair,
A2TQCLAV1NQW5N,lizard,bowl,oven,couch,
AD66HP7KFSKJG,crocodile,unkown,fridge,chair,
63050,lizard,cake,oven,couch,
A1QC1K71RGKZBI,snake,pie,microwave,armchair,
A7WJINDR01OCU,snake,unkown,oven,couch,
A2AJX9RMXPP9PW,snake,cookie,fridge,chair,
AD14EQ9O9JKRI,snake,multi,unknown,chair,
63071,lizard,cupcake,fridge,unknown,
AG3ISFZMFGDQ9,crocodile,cake,oven,couch,
63001,snake,cake,multi,multi,
62999,lizard,pie,unknown,bed,
63030,lizard,cake,oven,table,
A3C0NQ2IP5FTZQ,lizard,cake,microwave,chair,
A1LGYP99D20ME4,lizard,cone,microwave,chair,
AU5UJIZ3TLI5M,lizard,cake,fridge,chair,
63114,unkown,cake,microwave,chair,
A2HZSG2OHU7O8P,multi,multi,multi,bed,
A2E54SBBSW4B7U,lizard,cone,whisk,couch,
62983,lizard,unkown,multi,chair,
ARD7MAR0VBY1E,lizard,cookie,fridge,chair,
AQA46IS6AUNA8,snake,cake,microwave,couch,
A2BZY06YRWGEDL,lizard,cake,spatula,couch,
A2APG8MSLJ6G2K,lizard,cake,oven,chair,
AVT79B8F5O9LI,lizard,unkown,fridge,chair,
63094,lizard,cone,beater,couch,
63052,turtle,cone,fridge,chair,
A2JCK494NV7TFX,lizard,bowl,spatula,couch,
A2LAMCJLVCRQ4T,lizard,cake,oven,armchair,
A2R72PEQOZAINO,lizard,bowl,blender,chair,
A33L61XKPX76DB,lizard,icecream,fridge,chair,
A2EKR2ZFO10VMV,lizard,pie,oven,armchair,
A2YGAEODJ5SSF6,lizard,bowl,fridge,couch,
A2GG7HIO2OIXUR,lizard,cookie,beater,chair,
AD6JOGDEDAQ4U,lizard,pie,beater,couch,
AWAW665TQQP2F,lizard,pie,microwave,couch,
A2B7SPYBPF7H8I,turtle,bowl,oven,chair,
A28TXHXPVNZ0KN,lizard,unkown,unknown,couch,
A3SGR153YCJ1XN,snake,cookie,fork,chair,
A2HFBFZEJLIGBG,lizard,bowl,beater,couch,
APGX2WZ59OWDN,snake,cone,microwave,armchair,
AV5FCKI1TTSKR,turtle,cookie,microwave,chair,
A3VRDQJNM1IC0E,lizard,cake,oven,chair,
A1QKIA8XRNEXIG,unkown,bowl,fridge,unknown,
A2MOD3TN7HL7II,lizard,bowl,oven,couch,
A2UBEPT605E8T2,lizard,pie,microwave,chair,
A2HNSMIG9KZYAE,crocodile,cone,fridge,chair,
A2T1LNI80EPOQR,lizard,cone,toaster,table,
,lizard,unkown,blender,couch,
